NOMBRE DE EMPRESA;CIUDAD;DIRECCION;HORARIO;
COUCEIRO LIBRERIAS S.L.;A CORUNA;RONDA OUTEIRO, 132 BAJO;10:25-13:25,17:10-19:55;
ENCUADERNACIONES EX-LIBRIS S.L.;A CORUNA;AVENIDA GRAN CANARIA, 2 QUINTO;9:35-13:55,16:05-19:55;
LA SUPER PAPELERIA S.A.;A CORUNA;RUA ALFREDO VICENTI, 8 BAJO;10:35-13:35,17:20-19:55;
LIBRERIA ITES S.L.;A CORUNA;CALLE MONASTERIO DE CAAVEIRO, 4 BAJO;9:25-13:50,15:55-19:55;
LER LIBRERIAS AULIDE Y TAURIDE. S.L.;A POBRA DO CARAMI�AL;RUA DE LA PAZ, 8;10:35-13:25,17:10-20:00;
MAINOMEN S.L.;AMES;AV. PEREGRINA, 15 BAJO;10:25-13:25,17:10-20:00;
CENTRAL LIBRERA FERROL S.L.;FERROL;RUA DOLORES, 2;9:35-14:00,16:05-20:00;
METROPOLISCOMICS S.L.;FERROL;MARIA, 183 BAJO-IZDA;10:25-13:35,17:20-19:55;
PENSAMENTOS S.L.;PADRON;P. ESPOLON, 25 BAJO;9:25-14:00,16:05-20:00;
LIBRERIA CANDIDO S.L.;RIANXO;RUA MEDIO, 1 BAJO;10:35-13:35,17:20-20:00;
LER LIBRERIAS S.L.;SANTA COMBA;ROSALIA DE CASTRO, 32 BAJO;10:25-13:25,17:10-19:55;
LIBRARIA COUCEIRO S.L.;SANTIAGO DE COMPOSTELA;PR. CERVANTES, 6 BAJO;10:25-13:25,17:10-19:55;
LIBRERIA AENEA S.L.;SANTIAGO DE COMPOSTELA;IRMANS REY ALVITE, 3 BAJO;9:35-14:00,16:05-20:00;
SAGA LIBURUDENDA S.L.;GASTEIZ;CALLE GORBEA-GOBEIA KALEA, 12;10:35-13:25,17:20-19:55;
SECRETARIADO DIOCESANO DE CATEQUESIS S.L.;GASTEIZ;CALLE VICENTE GOICOECHEA, 5 BAJO;9:35-14:00,16:05-19:55;
HERSO S.L.;ALBACETE;PLAZA ALTOZANO, 3, 3RO IZQUIERDA;10:25-13:35,17:20-20:00;
LIBRERIA POPULAR S.L.;ALBACETE;PLAZA ALTOZANO, 3;10:35-13:25,17:20-20:00;
POPULAR LIBROS S.L.;ALBACETE;OCTAVIO CUARTERO, 15-17 BAJO;9:35-14:00,16:05-19:55;
CILSA S.L.;ALICANTE;ITALIA, 6 BAJO;10:25-13:35,17:20-20:00;
LIBRERIA SAN JORGE S.L.;ALICANTE;AURELIANO IBARRA, 9 BAJO;10:00-13:30-17:30-20:00;
